Symbol,Date,Open,High,Low,Close,Direction,Atr,IndicatorName,IndicatorSetting,IndicatorDirection,IndicatorSignal,
AUDCAD,2020-04-07 00:00:00,0.85871,0.86919,0.85712,0.86299,1,0.02104,Sma,8,1,1,
AUDCAD,2020-04-06 00:00:00,0.85486,0.86240,0.85146,0.85871,1,0.02189,Sma,8,-1,0,
AUDCAD,2020-04-03 00:00:00,0.85577,0.86077,0.84685,0.85066,-1,0.02208,Sma,8,-1,0,
AUDCAD,2020-04-02 00:00:00,0.86061,0.86376,0.85234,0.85592,-1,0.02285,Sma,8,-1,1,
AUDCAD,2020-04-01 00:00:00,0.86123,0.87638,0.85695,0.86061,-1,0.02414,Sma,8,1,0,
AUDCAD,2020-03-31 00:00:00,0.87340,0.88050,0.86106,0.86123,-1,0.02479,Sma,8,1,0,
AUDCAD,2020-03-30 00:00:00,0.86262,0.87436,0.85968,0.87340,1,0.02409,Sma,8,1,0,
AUDCAD,2020-03-27 00:00:00,0.84951,0.86606,0.84686,0.86091,1,0.02400,Sma,8,1,0,
AUDCAD,2020-03-26 00:00:00,0.84556,0.85440,0.83646,0.84951,1,0.02543,Sma,8,1,0,
AUDCAD,2020-03-25 00:00:00,0.86117,0.86876,0.84488,0.84556,-1,0.02486,Sma,8,1,0,
AUDCAD,2020-03-24 00:00:00,0.84525,0.86350,0.84231,0.86117,1,0.02360,Sma,8,1,1,
AUDCAD,2020-03-23 00:00:00,0.83298,0.84633,0.82360,0.84525,1,0.02264,Sma,8,-1,0,
AUDCAD,2020-03-20 00:00:00,0.83321,0.85453,0.82275,0.83254,-1,0.02228,Sma,8,-1,0,
AUDCAD,2020-03-19 00:00:00,0.83633,0.86112,0.80593,0.83323,-1,0.02061,Sma,8,-1,0,
AUDCAD,2020-03-18 00:00:00,0.85167,0.85580,0.83186,0.83633,-1,0.01794,Sma,8,-1,0,
AUDCAD,2020-03-17 00:00:00,0.85630,0.85845,0.84401,0.85167,-1,0.01690,Sma,8,-1,0,
AUDCAD,2020-03-16 00:00:00,0.85283,0.86761,0.84295,0.85630,1,0.01631,Sma,8,-1,0,
AUDCAD,2020-03-13 00:00:00,0.86753,0.88092,0.85145,0.85493,-1,0.01492,Sma,8,-1,0,
AUDCAD,2020-03-12 00:00:00,0.89254,0.89415,0.86564,0.86753,-1,0.01328,Sma,8,-1,1,
AUDCAD,2020-03-11 00:00:00,0.89229,0.89810,0.88841,0.89254,1,0.01153,Sma,8,1,0,
AUDCAD,2020-03-10 00:00:00,0.90155,0.90312,0.88971,0.89229,-1,0.01142,Sma,8,1,0,
AUDCAD,2020-03-09 00:00:00,0.89432,0.90589,0.86664,0.90155,1,0.01085,Sma,8,1,0,
AUDCAD,2020-03-06 00:00:00,0.88621,0.89239,0.88256,0.88991,1,0.00829,Sma,8,1,0,
AUDCAD,2020-03-05 00:00:00,0.88652,0.88918,0.88293,0.88642,-1,0.00781,Sma,8,1,0,
AUDCAD,2020-03-04 00:00:00,0.88087,0.88744,0.87957,0.88679,1,0.00763,Sma,8,1,0,
AUDCAD,2020-03-03 00:00:00,0.87030,0.88585,0.86816,0.88108,1,0.00739,Sma,8,1,1,
AUDCAD,2020-03-02 00:00:00,0.86857,0.87645,0.86805,0.86946,1,0.00640,Sma,8,-1,0,
AUDCAD,2020-02-28 00:00:00,0.87935,0.88166,0.86387,0.87112,-1,0.00614,Sma,8,-1,1,
AUDCAD,2020-02-27 00:00:00,0.87214,0.88102,0.87169,0.87911,1,0.00525,Sma,8,1,1,
AUDCAD,2020-02-26 00:00:00,0.87651,0.87743,0.87127,0.87236,-1,0.00518,Sma,8,-1,0,
AUDCAD,2020-02-25 00:00:00,0.87750,0.87987,0.87466,0.87633,-1,0.00508,Sma,8,-1,0,
AUDCAD,2020-02-24 00:00:00,0.87221,0.87863,0.87213,0.87762,1,0.00515,Sma,8,-1,0,
AUDCAD,2020-02-21 00:00:00,0.87663,0.87759,0.87351,0.87517,-1,0.00518,Sma,8,-1,0,
AUDCAD,2020-02-20 00:00:00,0.88185,0.88425,0.87620,0.87632,-1,0.00530,Sma,8,-1,0,
AUDCAD,2020-02-19 00:00:00,0.88614,0.88771,0.88219,0.88235,-1,0.00500,Sma,8,-1,0,
AUDCAD,2020-02-18 00:00:00,0.88782,0.88851,0.88515,0.88632,-1,0.00499,Sma,8,-1,0,
AUDCAD,2020-02-17 00:00:00,0.89022,0.89126,0.88814,0.88835,-1,0.00502,Sma,8,-1,0,
AUDCAD,2020-02-14 00:00:00,0.89107,0.89217,0.88840,0.88910,-1,0.00502,Sma,8,-1,0,
AUDCAD,2020-02-13 00:00:00,0.89262,0.89306,0.88855,0.89137,-1,0.00523,Sma,8,-1,1,
AUDCAD,2020-02-12 00:00:00,0.89198,0.89533,0.89159,0.89239,1,0.00520,Sma,8,1,0,
AUDCAD,2020-02-11 00:00:00,0.89010,0.89452,0.88964,0.89183,1,0.00545,Sma,8,1,1,
AUDCAD,2020-02-10 00:00:00,0.88645,0.89148,0.88625,0.89024,1,0.00557,Sma,8,-1,0,
AUDCAD,2020-02-07 00:00:00,0.89350,0.89488,0.88645,0.88768,-1,0.00547,Sma,8,-1,1,
AUDCAD,2020-02-06 00:00:00,0.89597,0.89844,0.89376,0.89376,-1,0.00518,Sma,8,1,0,
AUDCAD,2020-02-05 00:00:00,0.89449,0.89952,0.89331,0.89591,1,0.00509,Sma,8,1,0,
AUDCAD,2020-02-04 00:00:00,0.88852,0.89519,0.88828,0.89441,1,0.00506,Sma,8,1,1,
